poly_num_hbond_donors_sum_fullpolymerfeaturizer,poly_num_hbond_acceptors_sum_fullpolymerfeaturizer,poly_num_non_aromatic_rings_sum_fullpolymerfeaturizer,poly_num_aromatic_rings_sum_fullpolymerfeaturizer,poly_topological_surface_area_sum_fullpolymerfeaturizer,poly_num_hbond_donors_sidechainfeaturizer_sum,poly_num_hbond_acceptors_sidechainfeaturizer_sum,poly_num_atoms_sum_backbonefeaturizer,poly_sp2_carbon_count_sum_backbonefeaturizer,poly_sp3_carbon_count_sum_backbonefeaturizer,poly_homo_eV_H,poly_lumo_eV_H,poly_homo_eV_C,poly_lumo_eV_C,poly_homo_eV_O,poly_lumo_eV_O,drug_num_hbond_donors_sum_fullmolecularfeaturizer,drug_num_hbond_acceptors_sum_fullmolecularfeaturizer,drug_num_non_aromatic_rings_sum_fullmolecularfeaturizer,drug_num_aromatic_rings_sum_fullmolecularfeaturizer,drug_logp,drug_min_logd_pH_7.0-7.4,drug_max_logd_pH_7.0-7.4,drug_homo_eV,drug_lumo_eV,CONCENTRATION,CAPACITY,SOURCE
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.85868609793615,-20.633377204360738,15.685573146404073,-20.424477191573317,15.21433247559799,-20.696929789804788,2,5,1,2,1.5809999999999997,0.1639000000000001,1.5809999999999997,31.06582397725907,-21.253514300969368,25,13.78,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.893519789549531,-20.616500832797534,15.587308170889303,-20.445881599433786,15.39808534056226,-20.739402677609093,3,5,2,1,0.3181000000000002,-3.1504999999999965,-1.016599999999999,18.273159753423844,-20.97826810687308,25,13.44,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.91271170384424,-20.383321282426635,15.596446492171278,-20.526537487819468,15.265371688973936,-20.6167839145208,6,9,3,1,-0.5041999999999991,-4.948699999999995,-2.899599999999996,17.525902794879855,-20.404273238950825,25,6.75,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,16.253027389690097,-20.128881504371964,15.680262531752943,-20.484242574307753,15.268332656194069,-20.66950672024739,2,4,1,2,1.7959,-0.5649999999999988,0.46119999999999967,18.701278592875788,-23.01197948367792,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.618754765326853,-20.53625206565279,15.695598992443903,-20.272106630801574,15.158151724946213,-20.736296758637792,1,5,0,3,0.7357999999999993,0.7357999999999993,0.7357999999999993,15.923162373725384,-23.084066852684398,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.891021229116204,-20.486207095038075,15.806552773966692,-20.370902095968972,15.009500418376152,-20.892122922423617,2,9,5,0,5.7289000000000065,5.7289000000000065,5.7289000000000065,17.90794024172328,-19.99675144209954,25,13.17,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.477924838645091,-20.666229334383033,15.734800067306228,-20.325772876389955,15.292761358389608,-20.655337970604137,1,2,0,1,2.4568000000000003,1.1220999999999997,1.1220999999999997,16.12739202325269,-28.923586979985867,25,50.81,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,16.035178186260502,-20.19779335166814,15.617270570697032,-20.412097953267,15.301100383474692,-20.592918643522466,2,5,1,3,5.9722400000000055,4.708240000000004,5.9722400000000055,31.339853245162576,-21.10264337734465,25,22.63,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
2.0,6.0,0.0,0.0,104.64,2,6,5,0,3,15.941561329022814,-20.337305165766285,15.883829609327174,-20.10644760675289,15.215348703406557,-20.79053331391822,0,4,0,3,2.827300000000001,2.827300000000001,2.827300000000001,19.925159954257207,-20.1392752298632,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
1.0,3.0,0.0,0.0,46.53,1,3,5,0,3,15.799325211578717,-20.174443788534674,15.877371384594458,-19.93604345215934,15.255988538544981,-20.347654357881126,2,5,1,2,1.5809999999999997,0.1639000000000001,1.5809999999999997,31.065787011601685,-21.253515071570256,25,0.0,https://www.researchgate.net/publication/363374372_Single_and_Dual_polymeric_sponges_for_emerging_pollutants_removal
