POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Fe3O4/red mud,Ciprofloxacin,6.0,3.0,110.15,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4@C Matrix,Acetylsalicylic acid,3.0,0.0,0.0,interpolated
Fe3O4@C Matrix,Acetylsalicylic acid,3.0,33.33333,78.0,interpolated
Fe3O4@C Matrix,Acetylsalicylic acid,3.0,66.66667,156.0,interpolated
Fe3O4@C Matrix,Acetylsalicylic acid,3.0,100.0,234.0,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6.0,0.0,0.0,interpolated
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6.0,16.66667,10.83333,interpolated
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6.0,33.33333,21.66667,interpolated
Fe3O4@SiO2 Chitosan/GO,Tetracycline,6.0,50.0,32.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2.0,0.0,0.0,interpolated
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2.0,0.03333,73.73333,interpolated
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2.0,0.06667,147.46667,interpolated
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2.0,0.1,221.2,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/calcium alginate fibers,Ciprofloxacin,5.9,0.0,0.0,interpolated
GO/calcium alginate fibers,Ciprofloxacin,5.9,20.0,22.08333,interpolated
GO/calcium alginate fibers,Ciprofloxacin,5.9,40.0,44.16667,interpolated
GO/calcium alginate fibers,Ciprofloxacin,5.9,60.0,66.25,https://link.springer.com/article/10.1007/s41742-025-00825-4
GO/sodium alginate hydrogels,Ciprofloxacin,4.0,0.0,0.0,interpolated
GO/sodium alginate hydrogels,Ciprofloxacin,4.0,16.66667,28.70667,interpolated
